"Tiempo","Frecuencia (Hz)","ESTACION","FECHA DE SUSCRIPCION","TIPO","Level (dBµV/m)","Bandwidth (Hz)","Offset (Hz)","FM (Hz)","Arch_ Info"
"14/05/2025  17:15:24,709","   106700000"," ","05/01/2024  13:44:39,000","R","  33,9","      114687","         316","       49982",
"14/05/2025  17:15:24,709","   106900000","ZETA","25/02/2021  13:44:39,000","M","  95,8","      128125","         247","       49974",
"14/05/2025  17:15:24,709","   107300000"," ","05/01/2024  13:44:39,000","R","  40,5","      490937","          -2","       49988",
"14/05/2025  17:15:24,709","   107500000"," ","05/01/2024  13:44:39,000","R","  40,2","      491875","        -632","       49975",
"14/05/2025  17:15:24,709","   107700000"," ","05/01/2024  13:44:39,000","R","  35,5","      495000","        -316","       49974",
"14/05/2025  17:15:24,709","   107900000"," ","05/01/2024  13:44:39,000","R","  32,8","      493125","          65","       49974",
"14/05/2025  17:15:24,709","   108000000"," ","05/01/2024  13:44:39,000","R","  37,7","      486562","        1688","       49975",
"14/05/2025  17:15:44,111","    88100000"," ","05/01/2024  13:44:39,000","R","  48,9","      464687","         -88","       49974",
"14/05/2025  17:15:44,111","    88300000"," ","05/01/2024  13:44:39,000","R","  37,6","      473437","         125","       49974",
"14/05/2025  17:15:44,111","    88500000","RADIO SONORAMA FM","04/03/2021  13:44:39,000","R","  55,6","      469062","         -69","        7711",
"14/05/2025  17:15:44,111","    88700000"," ","05/01/2024  13:44:39,000","R","  38,3","         625","        -298","       49986",
"14/05/2025  17:15:44,111","    88900000","LA RADIO DE LA ASAMBLEA NACIONA","24/01/2022  13:44:39,000","R","  86,0","         625","         -71","         130",
"14/05/2025  17:15:44,111","    90100000","RADIO ONDA MUNICIPAL FM","07/02/2018  13:44:39,000","M"," 103,4","      112500","         -33","       49974",
"14/05/2025  17:15:44,111","    90300000"," ","05/01/2024  13:44:39,000","R","  46,6","      106562","       -1748","       49975",
"14/05/2025  17:15:44,111","    90500000"," ","05/01/2024  13:44:39,000","R","  41,6","      491250","        -485","       49974",
"14/05/2025  17:15:44,111","    90700000"," ","05/01/2024  13:44:39,000","R","  38,4","      495937","        1141","       49975",
"14/05/2025  17:15:44,111","    90900000"," ","05/01/2024  13:44:39,000","R","  41,2","      490625","         -71","       49974",
"14/05/2025  17:15:44,111","    91100000"," ","05/01/2024  13:44:39,000","R","  35,5","      494687","          31","       49988",
"14/05/2025  17:15:44,111","    91300000"," ","05/01/2024  13:44:39,000","R","  45,2","      476562","        -194","       49974",
"14/05/2025  17:15:44,111","    91500000"," ","05/01/2024  13:44:39,000","R","  36,9","      491250","        -229","       49974",
"14/05/2025  17:15:44,111","    91700000"," ","05/01/2024  13:44:39,000","R","  37,8","      492812","         170","       49974",
"14/05/2025  17:15:44,111","    91900000"," ","05/01/2024  13:44:39,000","R","  43,2","      100000","        3074","       49975",
"14/05/2025  17:15:44,111","    92100000","AMAZONAS FM","03/03/2021  13:44:39,000","R","  91,3","      113437","         551","       49974",
"14/05/2025  17:15:44,111","    92300000"," ","05/01/2024  13:44:39,000","R","  38,2","      103437","       -1741","       49975",
"14/05/2025  17:15:44,111","    92500000"," ","05/01/2024  13:44:39,000","R","  50,9","      453750","         829","       49974",
"14/05/2025  17:15:44,111","    92700000"," ","05/01/2024  13:44:39,000","R","  36,7","      492500","         -20","       49974",
"14/05/2025  17:15:44,111","    92900000"," ","05/01/2024  13:44:39,000","R","  45,2","      484375","        -240","       49974",
"14/05/2025  17:15:44,111","    93100000"," ","05/01/2024  13:44:39,000","R","  35,8","      496562","         -64","       49974",
"14/05/2025  17:15:44,111","    93300000"," ","05/01/2024  13:44:39,000","R","  41,3","      494375","          49","       49974",
"14/05/2025  17:15:44,111","    93500000"," ","05/01/2024  13:44:39,000","R","  35,7","      492500","         594","       49974",
"14/05/2025  17:15:44,111","    93700000"," ","05/01/2024  13:44:39,000","R","  48,3","      463437","          61","       49974",
"14/05/2025  17:15:44,111","    93900000"," ","05/01/2024  13:44:39,000","R","  45,6","      490312","        -578","       49974",
"14/05/2025  17:15:44,111","    94100000"," ","05/01/2024  13:44:39,000","R","  39,7","      496250","        1333","       49975",
"14/05/2025  17:15:44,111","    94300000"," ","05/01/2024  13:44:39,000","R","  40,4","      121875","         916","       49980",
"14/05/2025  17:15:44,111","    94500000","LA KARIBEÑA","14/03/2022  13:44:39,000","R","  84,6","      142187","        1281","       49975",
"14/05/2025  17:15:44,111","    94700000"," ","05/01/2024  13:44:39,000","R","  36,2","      122187","        -977","       49975",
"14/05/2025  17:15:44,111","    94900000"," ","05/01/2024  13:44:39,000","R","  43,3","      492500","         598","       49980",
"14/05/2025  17:15:44,111","    95100000"," ","05/01/2024  13:44:39,000","R","  34,5","      494687","        -267","       49980",
"14/05/2025  17:15:44,111","    95300000"," ","05/01/2024  13:44:39,000","R","  43,3","      483750","        -807","       49975",
"14/05/2025  17:15:44,111","    95500000"," ","05/01/2024  13:44:39,000","R","  41,7","      113750","        -109","       49974",
"14/05/2025  17:15:44,111","    95700000","RADIO ROMÁNTICA FM","14/07/2017  13:44:39,000","R","  88,3","      140312","         332","       49974",
"14/05/2025  17:15:44,111","    95900000"," ","05/01/2024  13:44:39,000","R","  34,2","      110312","        -266","       49974",
"14/05/2025  17:15:44,111","    96100000"," ","05/01/2024  13:44:39,000","R","  55,3","      345625","         157","       49970",
"14/05/2025  17:15:44,111","    96300000"," ","05/01/2024  13:44:39,000","R","  38,4","      447500","         261","       49986",
"14/05/2025  17:15:44,111","    96500000"," ","05/01/2024  13:44:39,000","R","  38,6","      497187","         -69","       49974",
"14/05/2025  17:15:44,111","    96700000"," ","05/01/2024  13:44:39,000","R","  34,1","      482187","         567","       49974",
"14/05/2025  17:15:44,111","    96900000"," ","05/01/2024  13:44:39,000","R","  48,2","      420312","         372","       49974",
"14/05/2025  17:15:44,111","    97100000"," ","05/01/2024  13:44:39,000","R","  36,1","      473750","        -152","       49986",
"14/05/2025  17:15:44,111","    97300000"," ","05/01/2024  13:44:39,000","R","  39,5","      494687","        -243","       49974",
"14/05/2025  17:15:44,111","    97500000"," ","05/01/2024  13:44:39,000","R","  38,4","      491250","         167","       49974",
"14/05/2025  17:15:44,111","    97700000"," ","05/01/2024  13:44:39,000","R","  43,9","       58750","       -2451","       49975",
"14/05/2025  17:15:44,111","    97900000"," ","05/01/2024  13:44:39,000","R","  70,0","      158437","       16251","       49986",
"14/05/2025  17:15:44,111","    98100000","RADIO PODOCARPUS","04/03/2021  13:45:39,000","M"," 104,2","      286875","          65","       49974",
"14/05/2025  17:15:44,111","    98300000"," ","05/01/2024  13:44:39,000","R","  96,7","      201562","      -21262","       49980",
"14/05/2025  17:15:44,111","    98500000"," ","05/01/2024  13:44:39,000","R","  40,7","       55937","        1322","       49975",
"14/05/2025  17:15:44,111","    98700000"," ","05/01/2024  13:44:39,000","R","  46,7","      370937","        2177","       49975",
"14/05/2025  17:15:44,111","    98900000"," ","05/01/2024  13:44:39,000","R","  58,7","      330000","        -505","       49978",
"14/05/2025  17:15:44,111","    99100000"," ","05/01/2024  13:44:39,000","R","  36,2","      490000","        -791","       49975",
"14/05/2025  17:15:44,111","    99300000"," ","05/01/2024  13:44:39,000","R","  47,2","      470312","         -44","       49974",
"14/05/2025  17:15:44,111","    99500000"," ","05/01/2024  13:44:39,000","R","  36,6","      477812","       15112","       49985",
"14/05/2025  17:15:44,111","    99700000"," ","05/01/2024  13:44:39,000","R","  34,7","      498750","         -70","       49999",
"14/05/2025  17:15:44,111","    99900000"," ","05/01/2024  13:44:39,000","R","  44,3","      326562","        3280","       49984",
"14/05/2025  17:15:44,111","   100100000"," ","05/01/2024  13:44:39,000","R","  57,2","      346562","         410","       49974",
"14/05/2025  17:15:44,111","   100300000"," ","05/01/2024  13:44:39,000","R","  41,5","      480625","         821","       49978",
"14/05/2025  17:15:44,111","   100500000"," ","05/01/2024  13:44:39,000","R","  44,4","      495625","        1341","       49975",
"14/05/2025  17:15:44,111","   100700000"," ","05/01/2024  13:44:39,000","R","  41,0","       77500","       -1810","       49988",
"14/05/2025  17:15:44,111","   100900000","ZT RADIO LA RUMBERA","01/03/2021  13:44:39,000","R","  77,0","       72187","        -147","       40991",
"14/05/2025  17:15:44,111","   101100000"," ","05/01/2024  13:44:39,000","R","  34,4","       76875","        -331","       49974",
"14/05/2025  17:15:44,111","   101300000","LUCA RADIO 101.3","04/03/2021  13:44:39,000","M","  47,6","      478125","        1331","       49983",
"14/05/2025  17:15:44,111","   101500000"," ","05/01/2024  13:44:39,000","R","  37,1","      493750","        1284","       49987",
"14/05/2025  17:15:44,111","   101700000"," ","05/01/2024  13:44:39,000","R","  42,8","      482812","         398","       49974",
"14/05/2025  17:15:44,111","   101900000"," ","05/01/2024  13:44:39,000","R","  40,3","      495312","       -1830","       49975",
"14/05/2025  17:15:44,111","   102100000"," ","05/01/2024  13:44:39,000","R","  44,5","      471875","        1948","       49975",
"14/05/2025  17:15:44,111","   102300000"," ","05/01/2024  13:44:39,000","R","  33,0","      497500","         441","       49974",
"14/05/2025  17:15:44,111","   102500000"," ","05/01/2024  13:44:39,000","R","  46,5","      435312","        1090","       49975",
"14/05/2025  17:15:44,111","   102700000"," ","05/01/2024  13:44:39,000","R","  35,0","      487187","       -1122","       49975",
"14/05/2025  17:15:44,111","   102900000"," ","05/01/2024  13:44:39,000","R","  36,6","      497187","         200","       49974",
"14/05/2025  17:15:44,111","   103100000"," ","05/01/2024  13:44:39,000","R","  34,0","      493125","          56","       49970",
"14/05/2025  17:15:44,111","   103300000"," ","05/01/2024  13:44:39,000","R","  41,1","      488125","         450","       49974",
"14/05/2025  17:15:44,111","   103500000"," ","05/01/2024  13:44:39,000","R","  33,6","      490937","         737","       49974",
"14/05/2025  17:15:44,111","   103700000"," ","05/01/2024  13:44:39,000","R","  49,1","      457812","         634","       49974",
"14/05/2025  17:15:44,111","   103900000"," ","05/01/2024  13:44:39,000","R","  44,4","      100000","        8795","       49976",
"14/05/2025  17:15:44,111","   104100000","INTEGRACION FM","17/10/1994  13:44:39,000","M","  83,9","      112187","        -133","       23925",
"14/05/2025  17:15:44,111","   104300000"," ","05/01/2024  13:44:39,000","R","  46,7","       64062","       -8567","       49985",
"14/05/2025  17:15:44,111","   104500000"," ","05/01/2024  13:44:39,000","R","  42,9","      482812","         319","       49974",
"14/05/2025  17:15:44,111","   104700000"," ","05/01/2024  13:44:39,000","R","  33,5","      497187","        -304","       49974",
"14/05/2025  17:15:44,111","   104900000"," ","05/01/2024  13:44:39,000","R","  44,5","      435625","        1192","       49975",
"14/05/2025  17:15:44,111","   105100000"," ","05/01/2024  13:44:39,000","R","  33,5","      479375","        -681","       49975",
"14/05/2025  17:15:44,111","   105300000","PUBLICA FM","27/11/2015  13:44:39,000","R","  53,6","      145000","         785","       49974",
"14/05/2025  17:15:44,111","   105500000"," ","05/01/2024  13:44:39,000","R","  32,6","      457187","        -357","       49988",
"14/05/2025  17:15:44,111","   105700000"," ","05/01/2024  13:44:39,000","R","  40,3","      464375","         613","       49974",
"14/05/2025  17:15:44,111","   105900000"," ","05/01/2024  13:44:39,000","R","  54,8","      462500","        7531","       49976",
"14/05/2025  17:15:44,111","   106100000"," ","05/01/2024  13:44:39,000","R","  56,9","      288750","        -566","       49974",
"14/05/2025  17:15:44,111","   106300000"," ","05/01/2024  13:44:39,000","R","  42,9","      247812","       -3383","       49984",
"14/05/2025  17:15:44,111","   106500000"," ","05/01/2024  13:44:39,000","R","  37,2","      494687","         298","       49978",
"14/05/2025  17:15:44,111","   106700000"," ","05/01/2024  13:44:39,000","R","  34,0","      118125","        1697","       49975",
"14/05/2025  17:15:44,111","   106900000","ZETA","25/02/2021  13:44:39,000","M","  94,9","      136250","        1112","       49975",
"14/05/2025  17:15:44,111","   107300000"," ","05/01/2024  13:44:39,000","R","  41,3","      485625","       -1217","       49971",
"14/05/2025  17:15:44,111","   107500000"," ","05/01/2024  13:44:39,000","R","  36,9","      490625","        -171","       49988",
"14/05/2025  17:15:44,111","   107700000"," ","05/01/2024  13:44:39,000","R","  35,3","      495625","         197","       49974",
"14/05/2025  17:15:44,111","   107900000"," ","05/01/2024  13:44:39,000","R","  34,5","      493750","        -289","       49974",
"14/05/2025  17:15:44,111","   108000000"," ","05/01/2024  13:44:39,000","R","  34,1","      485312","        1985","       49975",
"14/05/2025  17:16:03,535","    88100000"," ","05/01/2024  13:44:39,000","R","  48,5","      465937","       -1538","       49975",
"14/05/2025  17:16:03,535","    88300000"," ","05/01/2024  13:44:39,000","R","  42,2","      478750","        -373","       49974",
"14/05/2025  17:16:03,535","    88500000","RADIO SONORAMA FM","04/03/2021  13:44:39,000","R","  55,3","      466875","         -68","       10760",
"14/05/2025  17:16:03,535","    88700000"," ","05/01/2024  13:44:39,000","R","  39,5","         625","         266","       49980",
"14/05/2025  17:16:03,535","    88900000","LA RADIO DE LA ASAMBLEA NACIONA","24/01/2022  13:44:39,000","R","  85,7","         625","         -75","         191",
"14/05/2025  17:16:03,535","    90100000","RADIO ONDA MUNICIPAL FM","07/02/2018  13:44:39,000","M"," 103,8","      117500","         539","       49974",
"14/05/2025  17:16:03,535","    90300000"," ","05/01/2024  13:44:39,000","R","  46,9","      105937","       -2066","       49975",
"14/05/2025  17:16:03,535","    90500000"," ","05/01/2024  13:44:39,000","R","  38,2","      491562","       -1515","       49983",
"14/05/2025  17:16:03,535","    90700000"," ","05/01/2024  13:44:39,000","R","  36,6","      494375","         836","       49974",
"14/05/2025  17:16:03,535","    90900000"," ","05/01/2024  13:44:39,000","R","  41,5","      491562","         388","       49974",
"14/05/2025  17:16:03,535","    91100000"," ","05/01/2024  13:44:39,000","R","  36,0","      495937","         354","       49974",
"14/05/2025  17:16:03,535","    91300000"," ","05/01/2024  13:44:39,000","R","  44,1","      483750","        -702","       49975",
"14/05/2025  17:16:03,535","    91500000"," ","05/01/2024  13:44:39,000","R","  36,1","      494062","        -316","       49974",
"14/05/2025  17:16:03,535","    91700000"," ","05/01/2024  13:44:39,000","R","  40,1","      491562","          36","       49974",
"14/05/2025  17:16:03,535","    91900000"," ","05/01/2024  13:44:39,000","R","  43,6","      114062","        5887","       49989",
"14/05/2025  17:16:03,535","    92100000","AMAZONAS FM","03/03/2021  13:44:39,000","R","  91,3","      112500","         768","       49974",
"14/05/2025  17:16:03,535","    92300000"," ","05/01/2024  13:44:39,000","R","  38,3","      105937","       -2031","       49975",
"14/05/2025  17:16:03,535","    92500000"," ","05/01/2024  13:44:39,000","R","  50,1","      459687","        2997","       49975",
"14/05/2025  17:16:03,535","    92700000"," ","05/01/2024  13:44:39,000","R","  37,0","      493125","        -271","       49974",
"14/05/2025  17:16:03,535","    92900000"," ","05/01/2024  13:44:39,000","R","  45,8","      484687","         -33","       49974",
"14/05/2025  17:16:03,535","    93100000"," ","05/01/2024  13:44:39,000","R","  42,4","      496250","        -165","       49974",
"14/05/2025  17:16:03,535","    93300000"," ","05/01/2024  13:44:39,000","R","  41,5","      493125","         613","       49974",
"14/05/2025  17:16:03,535","    93500000"," ","05/01/2024  13:44:39,000","R","  36,6","      493437","         592","       49984",
"14/05/2025  17:16:03,535","    93700000"," ","05/01/2024  13:44:39,000","R","  47,7","      450312","        -521","       49974",
"14/05/2025  17:16:03,535","    93900000"," ","05/01/2024  13:44:39,000","R","  34,6","      492500","        -974","       49975",
"14/05/2025  17:16:03,535","    94100000"," ","05/01/2024  13:44:39,000","R","  42,6","      496875","        -255","       49974",
"14/05/2025  17:16:03,535","    94300000"," ","05/01/2024  13:44:39,000","R","  36,8","      124062","        3447","       49975",
"14/05/2025  17:16:03,535","    94500000","LA KARIBEÑA","14/03/2022  13:44:39,000","R","  84,8","      151562","          78","       49974",
"14/05/2025  17:16:03,535","    94700000"," ","05/01/2024  13:44:39,000","R","  39,1","      123125","       -2205","       49988",
"14/05/2025  17:16:03,535","    94900000"," ","05/01/2024  13:44:39,000","R","  42,0","      496250","         860","       49988",
"14/05/2025  17:16:03,535","    95100000"," ","05/01/2024  13:44:39,000","R","  36,0","      495625","         951","       49975",
"14/05/2025  17:16:03,535","    95300000"," ","05/01/2024  13:44:39,000","R","  43,6","      489375","        -144","       49974",
"14/05/2025  17:16:03,535","    95500000"," ","05/01/2024  13:44:39,000","R","  37,1","      113125","          31","       49974",
"14/05/2025  17:16:03,535","    95700000","RADIO ROMÁNTICA FM","14/07/2017  13:44:39,000","R","  87,6","      127500","        -304","       49974",
"14/05/2025  17:16:03,535","    95900000"," ","05/01/2024  13:44:39,000","R","  42,8","      116562","        1303","       49992",
"14/05/2025  17:16:03,535","    96100000"," ","05/01/2024  13:44:39,000","R","  55,2","      362812","        -116","       49974",
"14/05/2025  17:16:03,535","    96300000"," ","05/01/2024  13:44:39,000","R","  35,5","      454062","       -1341","       49982",
"14/05/2025  17:16:03,535","    96500000"," ","05/01/2024  13:44:39,000","R","  37,4","      497812","        -780","       49975",
"14/05/2025  17:16:03,535","    96700000"," ","05/01/2024  13:44:39,000","R","  35,5","      483125","          89","       49974",
"14/05/2025  17:16:03,535","    96900000"," ","05/01/2024  13:44:39,000","R","  49,3","      423125","        -251","       49974",
"14/05/2025  17:16:03,535","    97100000"," ","05/01/2024  13:44:39,000","R","  37,2","      470937","        -328","       49974",
"14/05/2025  17:16:03,535","    97300000"," ","05/01/2024  13:44:39,000","R","  36,4","      495000","           7","       49996",
"14/05/2025  17:16:03,535","    97500000"," ","05/01/2024  13:44:39,000","R","  34,0","      491250","        -262","       49974",
"14/05/2025  17:16:03,535","    97700000"," ","05/01/2024  13:44:39,000","R","  44,4","       76250","        -571","       49974",
"14/05/2025  17:16:03,535","    97900000"," ","05/01/2024  13:44:39,000","R","  77,1","      180312","       11492","       49980",
"14/05/2025  17:16:03,535","    98100000","RADIO PODOCARPUS","04/03/2021  13:45:39,000","M"," 104,0","      226562","        -367","       49978",
"14/05/2025  17:16:03,535","    98300000"," ","05/01/2024  13:44:39,000","R","  35,7","      190312","      -12991","       49978",
"14/05/2025  17:16:03,535","    98500000"," ","05/01/2024  13:44:39,000","R","  40,5","       56562","        1057","       49975",
"14/05/2025  17:16:03,535","    98700000"," ","05/01/2024  13:44:39,000","R","  36,4","      386875","        1585","       49975",
"14/05/2025  17:16:03,535","    98900000"," ","05/01/2024  13:44:39,000","R","  58,4","      369687","         121","       49974",
"14/05/2025  17:16:03,535","    99100000"," ","05/01/2024  13:44:39,000","R","  35,0","      491875","       -1068","       49988",
"14/05/2025  17:16:03,535","    99300000"," ","05/01/2024  13:44:39,000","R","  48,1","      465000","         338","       49974",
"14/05/2025  17:16:03,535","    99500000"," ","05/01/2024  13:44:39,000","R","  36,2","      472812","       16027","       49978",
"14/05/2025  17:16:03,535","    99700000"," ","05/01/2024  13:44:39,000","R","  36,2","      498437","         -94","       49974",
"14/05/2025  17:16:03,535","    99900000"," ","05/01/2024  13:44:39,000","R","  33,9","      327812","         519","       49974",
"14/05/2025  17:16:03,535","   100100000"," ","05/01/2024  13:44:39,000","R","  56,9","      295625","        -174","       49978",
"14/05/2025  17:16:03,535","   100300000"," ","05/01/2024  13:44:39,000","R","  35,2","      484687","         490","       49974",
"14/05/2025  17:16:03,535","   100500000"," ","05/01/2024  13:44:39,000","R","  45,5","      489375","        -345","       49974",
"14/05/2025  17:16:03,535","   100700000"," ","05/01/2024  13:44:39,000","R","  33,9","       80937","         116","       49992",
"14/05/2025  17:16:03,535","   100900000","ZT RADIO LA RUMBERA","01/03/2021  13:44:39,000","R","  77,0","       83125","        -161","       49974",
"14/05/2025  17:16:03,535","   101100000"," ","05/01/2024  13:44:39,000","R","  34,2","       70312","         261","       49978",
"14/05/2025  17:16:03,535","   101300000","LUCA RADIO 101.3","04/03/2021  13:44:39,000","M","  47,2","      464062","         768","       49974",
"14/05/2025  17:16:03,535","   101500000"," ","05/01/2024  13:44:39,000","R","  37,1","      493437","         571","       49974",
"14/05/2025  17:16:03,535","   101700000"," ","05/01/2024  13:44:39,000","R","  42,6","      478437","         599","       49970",
"14/05/2025  17:16:03,535","   101900000"," ","05/01/2024  13:44:39,000","R","  38,3","      494062","       -2571","       49975",
"14/05/2025  17:16:03,535","   102100000"," ","05/01/2024  13:44:39,000","R","  45,0","      474062","       -2314","       49975",
"14/05/2025  17:16:03,535","   102300000"," ","05/01/2024  13:44:39,000","R","  33,9","      495937","         515","       49974",
"14/05/2025  17:16:03,535","   102500000"," ","05/01/2024  13:44:39,000","R","  45,6","      438125","         308","       49984",
"14/05/2025  17:16:03,535","   102700000"," ","05/01/2024  13:44:39,000","R","  34,9","      482812","         163","       49974",
"14/05/2025  17:16:03,535","   102900000"," ","05/01/2024  13:44:39,000","R","  36,3","      496562","         219","       49974",
"14/05/2025  17:16:03,535","   103100000"," ","05/01/2024  13:44:39,000","R","  33,4","      493437","        -135","       49974",
"14/05/2025  17:16:03,535","   103300000"," ","05/01/2024  13:44:39,000","R","  41,7","      490312","        -135","       49974",
"14/05/2025  17:16:03,535","   103500000"," ","05/01/2024  13:44:39,000","R","  37,6","      491250","         -72","       49974",
"14/05/2025  17:16:03,535","   103700000"," ","05/01/2024  13:44:39,000","R","  48,7","      400625","       -2955","       49982",
"14/05/2025  17:16:03,535","   103900000"," ","05/01/2024  13:44:39,000","R","  52,0","      176562","        7094","       49976",
"14/05/2025  17:16:03,535","   104100000","INTEGRACION FM","17/10/1994  13:44:39,000","M","  85,4","      218750","          73","       49974",
"14/05/2025  17:16:03,535","   104300000"," ","05/01/2024  13:44:39,000","R","  41,8","      118437","       -8556","       49977",
"14/05/2025  17:16:03,535","   104500000"," ","05/01/2024  13:44:39,000","R","  41,9","      413750","        -603","       49974",
"14/05/2025  17:16:03,535","   104700000"," ","05/01/2024  13:44:39,000","R","  32,1","      495625","           1","       49974",
"14/05/2025  17:16:03,535","   104900000"," ","05/01/2024  13:44:39,000","R","  44,1","      452500","        -695","       49975",
"14/05/2025  17:16:03,535","   105100000"," ","05/01/2024  13:44:39,000","R","  36,7","      474062","        -470","       49974",
"14/05/2025  17:16:03,535","   105300000","PUBLICA FM","27/11/2015  13:44:39,000","R","  53,7","      168750","           7","       49974",
"14/05/2025  17:16:03,535","   105500000"," ","05/01/2024  13:44:39,000","R","  31,9","      462500","         140","       49974",
"14/05/2025  17:16:03,535","   105700000"," ","05/01/2024  13:44:39,000","R","  40,3","      461875","        -753","       49971",
"14/05/2025  17:16:03,535","   105900000"," ","05/01/2024  13:44:39,000","R","  51,6","      454687","        7154","       49986",
"14/05/2025  17:16:03,535","   106100000"," ","05/01/2024  13:44:39,000","R","  57,5","      424687","         528","       49974",
"14/05/2025  17:16:03,535","   106300000"," ","05/01/2024  13:44:39,000","R","  45,6","      355312","       -4288","       49976",
"14/05/2025  17:16:03,535","   106500000"," ","05/01/2024  13:44:39,000","R","  37,7","      456250","         661","       49974",
"14/05/2025  17:16:03,535","   106700000"," ","05/01/2024  13:44:39,000","R","  32,5","      115312","         278","       49974",
"14/05/2025  17:16:03,535","   106900000","ZETA","25/02/2021  13:44:39,000","M","  95,9","      131562","        -324","       49974",
"14/05/2025  17:16:03,535","   107300000"," ","05/01/2024  13:44:39,000","R","  41,2","      487500","        -138","       49974",
"14/05/2025  17:16:03,535","   107500000"," ","05/01/2024  13:44:39,000","R","  41,0","      492812","       -1620","       49975",
"14/05/2025  17:16:03,535","   107700000"," ","05/01/2024  13:44:39,000","R","  34,8","      495312","         -77","       49974",
"14/05/2025  17:16:03,535","   107900000"," ","05/01/2024  13:44:39,000","R","  34,0","      494375","          92","       49980",
"14/05/2025  17:16:03,535","   108000000"," ","05/01/2024  13:44:39,000","R","  42,2","      489687","        2646","       49975",
"14/05/2025  17:16:22,920","    88100000"," ","05/01/2024  13:44:39,000","R","  48,7","      477812","          30","       49974",
"14/05/2025  17:16:22,920","    88300000"," ","05/01/2024  13:44:39,000","R","  41,4","      479687","         -25","       49982",
"14/05/2025  17:16:22,920","    88500000","RADIO SONORAMA FM","04/03/2021  13:44:39,000","R","  55,8","      473437","         -67","        8708",
"14/05/2025  17:16:22,920","    88700000"," ","05/01/2024  13:44:39,000","R","  36,3","         625","        -314","       49974",
"14/05/2025  17:16:22,920","    88900000","LA RADIO DE LA ASAMBLEA NACIONA","24/01/2022  13:44:39,000","R","  85,9","         625","         -70","         175",
"14/05/2025  17:16:22,920","    90100000","RADIO ONDA MUNICIPAL FM","07/02/2018  13:44:39,000","M"," 103,9","      114687","         376","       49974",
"14/05/2025  17:16:22,920","    90300000"," ","05/01/2024  13:44:39,000","R","  49,9","      108125","       -2423","       49975",
"14/05/2025  17:16:22,920","    90500000"," ","05/01/2024  13:44:39,000","R","  41,2","      492812","       -2637","       49975",
"14/05/2025  17:16:22,920","    90700000"," ","05/01/2024  13:44:39,000","R","  43,1","      495625","        1225","       49975",
"14/05/2025  17:16:22,920","    90900000"," ","05/01/2024  13:44:39,000","R","  42,5","      491562","       -1149","       49975",
"14/05/2025  17:16:22,920","    91100000"," ","05/01/2024  13:44:39,000","R","  36,6","      495000","         -69","       49988",
"14/05/2025  17:16:22,920","    91300000"," ","05/01/2024  13:44:39,000","R","  43,0","      486562","        -281","       49974",
"14/05/2025  17:16:22,920","    91500000"," ","05/01/2024  13:44:39,000","R","  41,5","      493125","         -71","       49982",
"14/05/2025  17:16:22,920","    91700000"," ","05/01/2024  13:44:39,000","R","  37,6","      495625","          87","       49986",
"14/05/2025  17:16:22,920","    91900000"," ","05/01/2024  13:44:39,000","R","  35,7","      103750","        4183","       49975",
"14/05/2025  17:16:22,920","    92100000","AMAZONAS FM","03/03/2021  13:44:39,000","R","  90,2","      120000","         665","       49971",
"14/05/2025  17:16:22,920","    92300000"," ","05/01/2024  13:44:39,000","R","  40,3","      117812","       -2194","       49975",
"14/05/2025  17:16:22,920","    92500000"," ","05/01/2024  13:44:39,000","R","  49,8","      441875","        -422","       49974",
"14/05/2025  17:16:22,920","    92700000"," ","05/01/2024  13:44:39,000","R","  40,9","      495625","           2","       49982",
"14/05/2025  17:16:22,920","    92900000"," ","05/01/2024  13:44:39,000","R","  44,3","      487500","         579","       49974",
"14/05/2025  17:16:22,920","    93100000"," ","05/01/2024  13:44:39,000","R","  41,2","      495625","        -563","       49974",
"14/05/2025  17:16:22,920","    93300000"," ","05/01/2024  13:44:39,000","R","  41,1","      493125","       -1159","       49975",
"14/05/2025  17:16:22,920","    93500000"," ","05/01/2024  13:44:39,000","R","  43,5","      493125","        1369","       49975",
"14/05/2025  17:16:22,920","    93700000"," ","05/01/2024  13:44:39,000","R","  47,5","      458437","          54","       49974",
"14/05/2025  17:16:22,920","    93900000"," ","05/01/2024  13:44:39,000","R","  34,7","      490937","        -752","       49975",
"14/05/2025  17:16:22,920","    94100000"," ","05/01/2024  13:44:39,000","R","  39,4","      497500","        1766","       49975",
"14/05/2025  17:16:22,920","    94300000"," ","05/01/2024  13:44:39,000","R","  37,3","      119687","         823","       49986",
"14/05/2025  17:16:22,920","    94500000","LA KARIBEÑA","14/03/2022  13:44:39,000","R","  84,6","      146875","        -665","       49975",
"14/05/2025  17:16:22,920","    94700000"," ","05/01/2024  13:44:39,000","R","  42,7","      123750","        -540","       49988",
"14/05/2025  17:16:22,920","    94900000"," ","05/01/2024  13:44:39,000","R","  42,3","      493125","        -209","       49974",
"14/05/2025  17:16:22,920","    95100000"," ","05/01/2024  13:44:39,000","R","  36,4","      494687","        -228","       49974",
"14/05/2025  17:16:22,920","    95300000"," ","05/01/2024  13:44:39,000","R","  43,2","      480625","         439","       49974",
"14/05/2025  17:16:22,920","    95500000"," ","05/01/2024  13:44:39,000","R","  35,1","      106250","          69","       49986",
"14/05/2025  17:16:22,920","    95700000","RADIO ROMÁNTICA FM","14/07/2017  13:44:39,000","R","  86,1","       44375","         919","       13211",
